text,drug,effect
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",propafenone,dizziness
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",citalopram,falls
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",propafenone,falls
"Three months after starting citalopram, she experienced episodes of chest tightness and dizziness.",citalopram,chest tightness
"Three months after starting citalopram, she experienced episodes of chest tightness and dizziness.",citalopram,dizziness
"CONCLUSIONS: Clinicians should be aware of this adverse reaction when facing similar complex neurologic symptoms in patients who are receiving the antibiotic treatment described here, especially vancomycin.",vancomycin,neurologic symptoms
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",piperacillin,neuralgic amyotrophy
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",tazobactam,neuralgic amyotrophy
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",tobramycin,neuralgic amyotrophy
"DISCUSSION: To our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam.",vancomycin,neuralgic amyotrophy
Seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis.,methylprednisolone,Seizures
Seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis.,methylprednisolone,transient blindness
"Two children, 1 with idiopathic nephrotic syndrome and 1 with endo-extracapillary glomerulonephritis, presented an episode of seizures and transient blindness at different times after i.v. pulse methylprednisolone (IVPMP) treatment.",methylprednisolone,seizures
"Two children, 1 with idiopathic nephrotic syndrome and 1 with endo-extracapillary glomerulonephritis, presented an episode of seizures and transient blindness at different times after i.v. pulse methylprednisolone (IVPMP) treatment.",methylprednisolone,transient blindness
BACKGROUND: Hydroxyurea is a cytostatic agent used to treat myeloproliferative disorders and long-term treatment is associated with mucocutaneous adverse events and nail hyperpigmentation.,Hydroxyurea,mucocutaneous adverse events
BACKGROUND: Hydroxyurea is a cytostatic agent used to treat myeloproliferative disorders and long-term treatment is associated with mucocutaneous adverse events and nail hyperpigmentation.,Hydroxyurea,nail hyperpigmentation
"Based on the Naranjo algorithm, the adverse reaction observed was probably related to the hydroxyurea treatment (score = 6); however, the hydroxyurea chemotherapy could not be discontinued because of the myeloproliferative disorder.",hydroxyurea,myeloproliferative disorder
Both the longitudinal melanonychia and the multiple skin cancers first appeared after approximately 6 months of hydroxyurea treatment.,hydroxyurea,longitudinal melanonychia
Both the longitudinal melanonychia and the multiple skin cancers first appeared after approximately 6 months of hydroxyurea treatment.,hydroxyurea,multiple skin cancers
CONCLUSIONS: We report this case of the concomitant appearance of multiple skin cancers and nail changes associated with hydroxyurea use.,hydroxyurea,multiple skin cancers
CONCLUSIONS: We report this case of the concomitant appearance of multiple skin cancers and nail changes associated with hydroxyurea use.,hydroxyurea,nail changes
Hydroxyurea associated with concomitant occurrence of diffuse longitudinal melanonychia and multiple squamous cell carcinomas in an elderly subject.,Hydroxyurea,diffuse longitudinal melanonychia
Hydroxyurea associated with concomitant occurrence of diffuse longitudinal melanonychia and multiple squamous cell carcinomas in an elderly subject.,Hydroxyurea,multiple squamous cell carcinomas
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.",hydroxyurea,diffuse nail hyperpigmentation
"OBJECTIVE: The purpose of this study was to report the concomitant occurrence of multiple squamous cell carcinomas and diffuse nail hyperpigmentation associated with hydroxyurea treatment, and to describe a successful therapeutic approach using imiquimod 5%.",hydroxyurea,multiple squamous cell carcinomas
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.",hydroxyurea,painful hand ulcer
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.",hydroxyurea,skin cancers
It is the first case of ciprofloxacin-induced VBDS successfully treated with tacrolimus.,ciprofloxacin,VBDS
Vanishing bile duct and Stevens-Johnson syndrome associated with ciprofloxacin treated with tacrolimus.,ciprofloxacin,Stevens-Johnson syndrome
Vanishing bile duct and Stevens-Johnson syndrome associated with ciprofloxacin treated with tacrolimus.,ciprofloxacin,Vanishing bile duct
"We report a case of a patient with ciprofloxacin-induced SJS and acute onset of VBDS, and reviewed the related literature.",ciprofloxacin,SJS
"We report a case of a patient with ciprofloxacin-induced SJS and acute onset of VBDS, and reviewed the related literature.",ciprofloxacin,VBDS
A 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel.,aspirin,intracranial bleeding
A 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel.,clopidogrel,intracranial bleeding
Disseminated salmonellosis in a patient treated with temozolomide.,temozolomide,Disseminated salmonellosis
We describe the first case of disseminated salmonellosis in a patient treated with temozolomide.,temozolomide,disseminated salmonellosis
Ceftriaxone-induced fixed drug eruption: first report.,Ceftriaxone,fixed drug eruption
"FDE from cephalosporins has been rarely reported, and to the best of our knowledge there is no published report of ceftriaxone-induced FDE in the literature.",cephalosporins,FDE
"FDE from cephalosporins has been rarely reported, and to the best of our knowledge there is no published report of ceftriaxone-induced FDE in the literature.",ceftriaxone,FDE
We report the first case of a 54-year-old Turkish woman who presented with ceftriaxone-induced FDE.,ceftriaxone,FDE
"CONCLUSION: All doctors need to be aware of the need to review the indications for gabapentin use during periods of acute illness, especially with regard to renal impairment.",gabapentin,renal impairment
Gabapentin toxicity in renal failure: the importance of dose adjustment.,Gabapentin,renal failure
OBJECTIVE: This case report outlines a significant type of morbidity due to continued use of gabapentin during an episode of acute renal failure.,gabapentin,acute renal failure
Acute syphilitic posterior placoid chorioretinitis following intravitreal triamcinolone acetonide injection.,triamcinolone acetonide,Acute syphilitic posterior placoid chorioretinitis
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,IVTA,acute syphilitic posterior placoid chorioretinitis
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,triamcinolone acetonide,acute syphilitic posterior placoid chorioretinitis
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,IVTA,ASPPC
BACKGROUND: We describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (ASPPC) that developed after intravitreal triamcinolone acetonide (IVTA) injection.,triamcinolone acetonide,ASPPC
CONCLUSIONS: The fundus picture shown in these cases may be typical of ASPPC after IVTA injection.,IVTA,ASPPC
RESULTS: Two patients with ocular inflammation of unknown origin developed severe chorioretinitis after IVTA injection.,IVTA,severe chorioretinitis
"Although it is difficult to solely attribute intratumoral hemorrhage to aspirin, we have to be careful when prescribing aspirin for patients who have asymptomatic meningioma.",aspirin,intratumoral hemorrhage
Hemorrhage from a falx meningioma after internal use of low-dose aspirin.,aspirin,Hemorrhage
"On the other hand, aspirin may have promoted the enlargement of spontaneous hemorrhage from meningioma.",aspirin,enlargement of spontaneous hemorrhage
Our case is the second one in which hemorrhage from a meningioma may have been induced by aspirin prophylaxis.,aspirin,hemorrhage
"We report a case in which hemorrhage occurred in an asymptomatic falx meningioma known beforehand, after the internal use of low-dose aspirin for 16 months.",aspirin,hemorrhage
Acute coronary syndromes can be associated with the infusion of rituximab.,rituximab,Acute coronary syndromes
Acute coronary syndromes complicating the first infusion of rituximab.,rituximab,Acute coronary syndromes
The aim of this study was to describe the occurrence of acute coronary syndromes in 3 cases of rituximab infusions.,rituximab,acute coronary syndromes
The occurrence of symptoms that could be ascribed to an acute coronary syndrome should always be taken seriously during the first rituximab infusion and investigated aggressively.,rituximab,acute coronary syndrome
We reviewed the records of 3 patients with lymphoproliferative disorders who experienced acute coronary syndromes associated with their initial infusion of rituximab.,rituximab,acute coronary syndromes
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,acenocoumarol,laryngeal hematoma
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,econazole,laryngeal hematoma
Laryngeal dyspnea in relation to an interaction between acenocoumarol and topical econazole lotion.,acenocoumarol,Laryngeal dyspnea
Laryngeal dyspnea in relation to an interaction between acenocoumarol and topical econazole lotion.,econazole,Laryngeal dyspnea
Adrenal suppression in a fetus due to administration of methylprednisolone has hitherto been rarely published.,methylprednisolone,Adrenal suppression in a fetus
"CONCLUSIONS: Life-threatening adrenal suppression, requiring hydrocortisone supplementation and intensive therapy, was observed and successfully treated in a newborn, whose mother had received high-dose methylprednisolone in late pregnancy.",methylprednisolone,adrenal suppression
High-dose methylprednisolone in a pregnant woman with Crohn's disease and adrenal suppression in her newborn.,methylprednisolone,adrenal suppression
A 10-year-old asthmatic boy began to suffer from urticarial rash and moderately severe bronchospasm after 8 weeks' treatment with disodium cromoglycate.,disodium cromoglycate,moderately severe bronchospasm
A 10-year-old asthmatic boy began to suffer from urticarial rash and moderately severe bronchospasm after 8 weeks' treatment with disodium cromoglycate.,disodium cromoglycate,urticarial rash
Asthma and urticaria during disodium cromoglycate treatment.,disodium cromoglycate,Asthma
Asthma and urticaria during disodium cromoglycate treatment.,disodium cromoglycate,urticaria
"When DSCG was withdrawn, urticaria vanished and the child remained symptom-free.",DSCG,urticaria
"After the first oral dose of propranolol, syncope developed together with atrioventricular block.",propranolol,atrioventricular block
"After the first oral dose of propranolol, syncope developed together with atrioventricular block.",propranolol,syncope
Syncope induced by propranolol in hypertrophic cardiomyopathy.,propranolol,Syncope
Olanzapine-induced hyperglycaemic coma and neuroleptic malignant syndrome: case report and review of literature.,Olanzapine,hyperglycaemic coma
Olanzapine-induced hyperglycaemic coma and neuroleptic malignant syndrome: case report and review of literature.,Olanzapine,neuroleptic malignant syndrome
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,allergic skin reactions
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,alopecia
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,diarrhea
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,hypertension
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,liver enzyme elevation
"DISCUSSION: The main adverse effects of leflunomide consist of diarrhea, nausea, liver enzyme elevation, hypertension, alopecia, and allergic skin reactions.",leflunomide,nausea
Leflunomide-induced toxic epidermal necrolysis in a patient with rheumatoid arthritis.,Leflunomide,toxic epidermal necrolysis
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.",Etanercept,mediastinal lymphadenopathy
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.",Etanercept,pleurisy
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.",Etanercept,thymic enlargement
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.",Etanercept,thymic hyperplasia
Thymic enlargement in a patient with juvenile idiopathic arthritis during etanercept therapy.,etanercept,Thymic enlargement
Oxcarbazepine-induced Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS).,Oxcarbazepine,DRESS
Oxcarbazepine-induced Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS).,Oxcarbazepine,Drug Reaction with Eosinophilia and Systemic Symptoms
This is an image and brief case report of a 13-year-old boy who presented with severe rash and systemic symptoms after starting oxcarbazepine.,oxcarbazepine,severe rash
After treatment with a beta-sympathomimetic drug (Partusisten) one fetus developed supraventricular tachycardia.,Partusisten,supraventricular tachycardia
Rosaceiform eruption induced by erlotinib.,erlotinib,Rosaceiform eruption
"The aim of this paper is to report the case of rosaceiform eruption induced by erlotinib in an 81-year-old-man and to discuss the pathogenetic role of Demodex folliculorum mites, found in the present patient, using skin scraping.",erlotinib,rosaceiform eruption
"In patients with methotrexate-induced anaphylaxis, discontinuation of treatment may increase the risk of death due to cancer progression.",methotrexate,anaphylaxis
Management and successful desensitization in methotrexate-induced anaphylaxis.,methotrexate,anaphylaxis
"Thus, we confirm that desensitization may be a safe procedure in patients with cancer who experience methotrexate-induced anaphylaxis.",methotrexate,anaphylaxis
"We report the case of a child with metastatic osteosarcoma, who experienced an anaphylactic/anaphylactoid reaction to methotrexate.",methotrexate,anaphylactic/anaphylactoid reaction
Drug-induced fever due to diltiazem.,diltiazem,fever
Drug-induced fever should be considered in patients who have unexplained high temperatures during diltiazem therapy.,diltiazem,fever
"To our knowledge, drug-induced fever has not been reported with the use of diltiazem hydrochloride, a commonly prescribed calcium channel blocker.",diltiazem hydrochloride,fever
A case of congestive heart failure in a child with Wilms' tumor treated Adriamycin is presented and discussed.,Adriamycin,congestive heart failure
Radiologic recognition of adriamycin cardiotoxicity.,adriamycin,cardiotoxicity
The role of Adriamycin in the production of cardiotoxicity is reviewed.,Adriamycin,cardiotoxicity
Carbamazepine-induced Diabetes mellitus.,Carbamazepine,Diabetes mellitus
Diabetes Mellitus was observed in a patient given carbamazepine.,carbamazepine,Diabetes Mellitus
The present study describes a patient who had unusual weight fluctuation under corticosteroid and psychotropic treatment such as mianserin and aripiprazole.,aripiprazole,unusual weight fluctuation
The present study describes a patient who had unusual weight fluctuation under corticosteroid and psychotropic treatment such as mianserin and aripiprazole.,mianserin,unusual weight fluctuation
"Although heparin-dependent antibodies (HDAs) typically manifest with thrombocytopenia as in heparin-induced thrombocytopenia (HIT), they may also manifest with preserved platelet counts.",heparin,thrombocytopenia
Clinicians should be cognizant of this possibility and consider a diagnosis of HDAs in patients with ongoing thrombosis who are receiving heparin therapy.,heparin,thrombosis
Heparin-dependent antibodies and thrombosis without heparin-induced thrombocytopenia.,heparin,thrombocytopenia
"Despite these antithrombotic effects, the patient developed repeated venous thromboembolism during treatment with low-molecular-weight heparin.",heparin,venous thromboembolism
"Four months after receiving an orthotopic liver transplant, a 51-year-old man was admitted for progressive liver failure and severe hepatocellular necrosis thought to be due to tacrolimus.",tacrolimus,progressive liver failure
"Four months after receiving an orthotopic liver transplant, a 51-year-old man was admitted for progressive liver failure and severe hepatocellular necrosis thought to be due to tacrolimus.",tacrolimus,severe hepatocellular necrosis
Initiation of posaconazole led to clinical improvement until the patient's demise from bacteremic vancomycin-resistant enterococcal peritonitis.,posaconazole,enterococcal peritonitis
Iatrogenic Cushing syndrome after epidural triamcinolone injections in an HIV type 1-infected patient receiving therapy with ritonavir-lopinavir.,triamcinolone,Iatrogenic Cushing syndrome
"We report the first case of a human immunodeficiency virus type 1 (HIV-1)-infected individual receiving combination antiretroviral therapy, which included ritonavir, who developed Cushing syndrome with profound complications after epidural triamcinolone injections.",triamcinolone,Cushing syndrome
A 22-year-old drug-abuser injected flunitrazepam tablets dissolved in tap water into her left femoral artery and presented with clinical signs of acute ischaemia of the left leg.,flunitrazepam,acute ischaemia of the left leg
Acute ischaemia of the leg following accidental intra-arterial injection of dissolved flunitrazepam tablets.,flunitrazepam,Acute ischaemia of the leg
A 17-year-old boy with refractory psoriatic arthritis and alpha-1 antitrypsin deficiency who developed a syringotropic hypersensitivity reaction after 9 months of therapy with infliximab and leflunomide is described.,infliximab,syringotropic hypersensitivity reaction
A 17-year-old boy with refractory psoriatic arthritis and alpha-1 antitrypsin deficiency who developed a syringotropic hypersensitivity reaction after 9 months of therapy with infliximab and leflunomide is described.,leflunomide,syringotropic hypersensitivity reaction
Syringotropic hypersensitivity reaction associated with infliximab and leflunomide combination therapy in a child with psoriatic arthritis.,infliximab,Syringotropic hypersensitivity reaction
Syringotropic hypersensitivity reaction associated with infliximab and leflunomide combination therapy in a child with psoriatic arthritis.,leflunomide,Syringotropic hypersensitivity reaction
A case of severe aplastic anemia secondary to treatment with lenalidomide for multiple myeloma.,lenalidomide,severe aplastic anemia
"Although moderate myelosuppression is not uncommonly seen in patients treated with lenalidomide, aplastic anemia has not previously been reported to be associated with this agent.",lenalidomide,aplastic anemia
We describe a case of severe aplastic anemia (AA) that was probably induced by lenalidomide.,lenalidomide,AA
We describe a case of severe aplastic anemia (AA) that was probably induced by lenalidomide.,lenalidomide,severe aplastic anemia
"After cessation of amantadine, the edema resolved, and the endothelial cell densities were <or=600/mm.",amantadine,edema
CONCLUSIONS: Amantadine can cause reversible corneal edema but can irreversibly reduce the density of endothelial cells.,Amantadine,reversible corneal edema
Corneal edema recurred when the administration of amantadine was resumed.,amantadine,Corneal edema
Corneal endothelial dysfunction associated with amantadine toxicity.,amantadine,Corneal endothelial dysfunction
PURPOSE: To describe bilateral corneal endothelial dysfunction in a patient with Parkinson disease who was treated with long-term amantadine.,amantadine,bilateral corneal endothelial dysfunction
RESULTS: A 52-year-old woman with Parkinson disease who had taken amantadine for 6 years had bilateral corneal edema for 2 months at baseline.,amantadine,bilateral corneal edema
"Therefore, amantadine was permanently discontinued and the cornea cleared again.",amantadine,cornea
Biopsy-proven acute interstitial nephritis associated with the tyrosine kinase inhibitor sunitinib: a class effect?,sunitinib,acute interstitial nephritis
We report the first biopsy confirmed occurrence of acute interstitial nephritis in a patient receiving treatment with Sunitinib for metastatic renal cell cancer.,Sunitinib,acute interstitial nephritis
"Extrapyramidal symptoms are well-documented complications of therapy with haloperidol, even when small doses are used.",haloperidol,Extrapyramidal symptoms
This report highlights a case of drug-induced dysphagia in a patient receiving haloperidol for obsessive nocturnal thoughts and auditory disturbances.,haloperidol,dysphagia
A 52 year-old male patient diagnosed of ankylosing spondylitis presented with an iron deficiency anemia after a ten-month treatment of methotrexate.,methotrexate,iron deficiency anemia
Methotrexate induced sprue-like syndrome.,Methotrexate,sprue-like syndrome
Only 3 cases of imatinib-induced tumor lysis syndrome have been reported.,imatinib,tumor lysis syndrome
We herein described an additional patient with BCR-ABL (ela2) positive acute lymphoblastic leukemia who developed tumor lysis syndrome after 10-day treatment with imatinib.,imatinib,tumor lysis syndrome
IFNalpha-induced recurrence of Graves' disease ten years after thyroidectomy in chronic viral hepatitis C.,IFNalpha,Graves' disease
"In contrast to chronic or subacute thyroiditis, Graves' disease rarely complicates IFN-alpha therapy for chronic viral C hepatitis.",IFN-alpha,Graves' disease
"In contrast to chronic or subacute thyroiditis, Graves' disease rarely complicates IFN-alpha therapy for chronic viral C hepatitis.",IFN-alpha,subacute thyroiditis
We report the case of a 51-year-old man in whom IFN-alpha treatment was followed by recurrence of Graves' disease 10 years after thyroidectomy was performed and the patient was declared cured.,IFN-alpha,Graves' disease
Interstitial granulomatous dermatitis associated with darifenacin.,darifenacin,Interstitial granulomatous dermatitis
The authors describe a case of interstitial granulomatous dermatitis associated with darifenacin.,darifenacin,interstitial granulomatous dermatitis
"Gemcitabine is a known risk factor for hemolytic uremic syndrome (HUS), which can often have a rapidly fatal clinical course despite intervention with steroids, plasmapheresis and hemodialysis.",Gemcitabine,hemolytic uremic syndrome
"Gemcitabine is a known risk factor for hemolytic uremic syndrome (HUS), which can often have a rapidly fatal clinical course despite intervention with steroids, plasmapheresis and hemodialysis.",Gemcitabine,HUS
"METHODS: A retrospective report of the first case of gemcitabine-related HUS, in a patient with metastatic pancreatic adenocarcinoma, treated with a variety of standard therapies in addition to rituximab is presented.",gemcitabine,HUS
Rituximab-based therapy for gemcitabine-induced hemolytic uremic syndrome in a patient with metastatic pancreatic adenocarcinoma: a case report.,gemcitabine,hemolytic uremic syndrome
Drug rash with eosinophilia and systemic symptoms after chlorambucil treatment in chronic lymphocytic leukaemia.,chlorambucil,Drug rash with eosinophilia and systemic symptoms
"He developed recurrent skin rash, fever, hypereosinophilia, and acute renal failure after rechallenge with chlorambucil.",chlorambucil,acute renal failure
"He developed recurrent skin rash, fever, hypereosinophilia, and acute renal failure after rechallenge with chlorambucil.",chlorambucil,fever
"He developed recurrent skin rash, fever, hypereosinophilia, and acute renal failure after rechallenge with chlorambucil.",chlorambucil,hypereosinophilia
"He developed recurrent skin rash, fever, hypereosinophilia, and acute renal failure after rechallenge with chlorambucil.",chlorambucil,skin rash
We report the first case of chlorambucil-induced DRESS syndrome in a 70-year-old man recently diagnosed with chronic lymphocytic leukaemia.,chlorambucil,DRESS syndrome
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",methotrexate,acute renal failure
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",MTX,acute renal failure
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",methotrexate,elevation of aspartate aminotrasferase
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",MTX,elevation of aspartate aminotrasferase
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",methotrexate,renal toxicity
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.",MTX,renal toxicity
"Although his renal function recovered completely with high-dose leucovorin, hemodialysis, charcoal hemoperfusion, and carboxypeptidase G2, we present this case to emphasize that signs of renal toxicity may be present as early as 2 hours after the completion of a 4-hour MTX infusion, and to suggest that monitoring for MTX toxicity should perhaps begin within a few hours after the completion of 4-hour MTX infusion.",MTX,renal toxicity
Early recognition of renal toxicity of high-dose methotrexate therapy: a case report.,methotrexate,renal toxicity
Multifocal electroretinographic abnormalities in ethambutol-induced visual loss.,ethambutol,visual loss
These are the first reported patients to show mfERG abnormalities that correspond to bitemporal visual field defects and add to the growing evidence that ethambutol damages the retina.,ethambutol,bitemporal visual field defects
These are the first reported patients to show mfERG abnormalities that correspond to bitemporal visual field defects and add to the growing evidence that ethambutol damages the retina.,ethambutol,mfERG abnormalities
Two patients who developed decreased visual acuity after several months of ethambutol treatment for Mycobacterium avium-intracellulare infection had bitemporal visual field defects that suggested optic chiasm damage.,ethambutol,bitemporal visual field defects
Two patients who developed decreased visual acuity after several months of ethambutol treatment for Mycobacterium avium-intracellulare infection had bitemporal visual field defects that suggested optic chiasm damage.,ethambutol,decreased visual acuity
Tenofovir-associated nephrotoxicity in two HIV-infected adolescent males.,Tenofovir,nephrotoxicity
"To our knowledge, these cases represent the first reports of TDF-associated irreversible renal failure and rickets in pediatric patients.",TDF,irreversible renal failure
"To our knowledge, these cases represent the first reports of TDF-associated irreversible renal failure and rickets in pediatric patients.",TDF,rickets
We report two cases of tenofovir (TDF)-associated nephrotoxicity in perinatally HIV-infected adolescents.,TDF,nephrotoxicity
We report two cases of tenofovir (TDF)-associated nephrotoxicity in perinatally HIV-infected adolescents.,tenofovir,nephrotoxicity
"In this case, discontinuing piroxicam, a nonsteroidal anti-inflammatory drug, and starting a palliative treatment plan helped resolve a patient's ulcers.",piroxicam,ulcers
Acute renal failure following intravenous immunoglobulin therapy in a HIV-infected patient.,immunoglobulin,Acute renal failure
Acute renal failure is a rare complication following the administration of intravenous immunoglobulin (IVIG).,immunoglobulin,Acute renal failure
The exact mechanism of IVIG-associated acute renal failure remains unclear.,IVIG,acute renal failure
A 58-year-old man with advanced renal cell carcinoma developed grade 3 proteinuria (8.5 g/24 h) without microscopic hematuria or renal insufficiency five days after temsirolimus infusion.,temsirolimus,proteinuria
Temsirolimus-induced glomerulopathy.,Temsirolimus,glomerulopathy
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",etanercept,Hypoglycemia
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",etanercept,hypoglycemia
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",insulin,hypoglycemia
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",meglitinides,hypoglycemia
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",sulfonylureas,hypoglycemia
Persistent hypoglycemia in a patient with diabetes taking etanercept for the treatment of psoriasis.,etanercept,Persistent hypoglycemia
"We report a patient with type 2 diabetes mellitus who, while treated with the antitumor necrosis factor-alpha blocking agent etanercept for severe plaque psoriasis, experienced persistent hypoglycemia requiring the lowering and eventual elimination of his previous insulin regimen.",etanercept,persistent hypoglycemia
We report on three cases wherein treatment of dexmedetomidine-induced bradycardia with i.v. glycopyrrolate (5.0 microg/kg) not only resulting in resolution of bradycardia but also resulting in an exaggerated increase of arterial blood pressure.,dexmedetomidine,bradycardia
We report on three cases wherein treatment of dexmedetomidine-induced bradycardia with i.v. glycopyrrolate (5.0 microg/kg) not only resulting in resolution of bradycardia but also resulting in an exaggerated increase of arterial blood pressure.,glycopyrrolate,exaggerated increase of arterial blood pressure
