"damage_class","narr_cause"
"Substantial","The pilot's inadequate preflight planning, which resulted in a loss of engine power due to fuel exhaustion."
"Substantial","A partial power loss for undetermined reasons."
"Substantial","The pilot/owner's failure to properly identify the inoperative engine prior to feathering the wrong propeller, and his lack of familiarity with the required corrective procedures.  A factor was the initial engine failure."
"Substantial","the loss of engine power for an undetermined reason, which resulted in a forced landing.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The reported loss of engine power due to fuel exhaustion during cruise flight, the pilot not performing an autorotation, the pilot not maintaining rotor RPM during his emergency descent, and the pilot not maintaining control of the helicopter.  A factor was the trees."
"Substantial","The collapse of the nose landing gear as a result of the failure of company maintenance personnel to follow the proper procedures for a towing the airplane with an unsafe nose landing gear indication.  Contributing factors were the inadequate communication between the company maintenance personnel, the inaccurate instructions provided to the maintenance crew, and the failure of the nose landing gear's locking mechanism."
"Substantial","The pilot's inadequate preflight inspection, which resulted in a loose battery charger becoming entangled in the rudder pedals during a spin recovery, and a subsequent overstress of the glider.  Factors included the loose battery charger, and the non-standard battery charging procedure."
"Substantial","the loose throttle cable resulting in a partial loss of engine power.  Contributing factors were the pilot's failure to perform the required yearly condition inspection prior to flight and the lack of suitable terrain for the forced landing."
"Substantial","the pilot's high flare, which resulted in a hard landing."
"Substantial","The pilot's failure to maintain airspeed during a low altitude turn, resulting in a stall.  The pilot exceeding the aircraft's maximum gross takeoff weight was a factor."
"Substantial","The failure of the CFI/check pilot to insure Vmc was maintained during a go-around following a simulated failed engine approach, resulting in an in-flight loss of control, uncontrolled descent, and collision with the terrain. A factor in the accident was the abrupt throttle control by unknown pilot(s)."
"Substantial","The owner/mechanic's inadequate annual inspection.  A factor related to the accident was the rotted fuel line which separated from it's connection at the fuel pump."
"Destroyed","the pilot's failure to maintain aircraft control, which resulted in an inadvertent stall.  Contributing factors were the pilot's flight into known adverse weather, his self-induced pressure to complete the flight and the thunderstorm."
"Substantial","Loss of engine power due to a blockage of the left fuel tank vent line with mud, and the subsequent inadvertent stall."
"Substantial","loss of engine power for undetermined reasons."
"Substantial","The inadvertent flat spin of the airplane by the flightcrew resulting from the flight instructor's inadequate supervision.  A contributing factor was the impairment (drugs) of the private pilot."
"Substantial","The pilot's excessive descent rate and subsequent hard landing during the landing flare/touchdown.  A factor in the accident was glassy water conditions."
"Substantial","The blockage of the fuel vent and also the collapsed fuel supply line resulting in the total loss of engine power due to fuel starvation."
"Substantial","the separation of a propeller counterweight mounting bracket due to incorrect mounting bolt torque. Factors include significant powerplant vibration during the forced landing, no suitable landing area, and soft terrain next to the narrow road on which the pilot attempted his emergency landing."
"Destroyed","The pilot's loss of control in flight due to spatial disorientation, and his subsequent overstress of the airplane during a recovery attempt.  A factor in the accident was the pilot's use of inappropriate medications."
"Substantial","The pilot's inadequate compensation for wind conditions.  Factors associated in the accident were a crosswind, and a worn tailwheel steering horn."
"Substantial","The loss of engine power for undetermined reasons.  A factor was the lack of suitable terrain for a forced landing."
"Substantial","The pilot not maintaining directional control of the airplane during landing.  The gusty crosswind and the berm were factors."
"Minor","Ther pilot's delay to compensate for changing weather conditions in-flight.  Contributing factors were the high winds and an inaccurate weather forcast."
"Substantial","The pilot's inadvertent flight into adverse weather conditions during cruise flight and the unsuitable landing area encountered during the uncontrolled descent.  Factors relating to this accident were the high wind, the pilot's unsuccessful attempt to compensate for the wind conditions, the pilot's unsuccessful attempt to avoid the power lines during the landing, and the power lines."
"Substantial","Inadequate visual lookout during taxi by the pilot of the other airplane."
"Substantial","The pilot's inadequate lookout during the taxi."
"Minor","Inadequate visual lookout during taxi by the pilot of the other airplane."
"Minor","The pilot's inadequate lookout during the taxi."
"Substantial","The pilot's inadvertent (dark, nighttime) VFR flight into instrument meteorological conditions and subsequent loss of altitude control.  A factor in the accident was the pilot's inadequate preflight weather evaluation."
"Destroyed","The failure of the pilot to maintain aircraft control while maneuvering at a low altitude, resulting in an uncontrolled descent and inflight collision with the terrain."
"Substantial","The pilots impairment due to drugs.  Contributing factors were the dark night light conditions, the pilot's failure to refuel, resulting in the total loss of engine power due to fuel exhaustion, and the pilot's misjudged landing flare."
"Substantial","the pilot's inadequate landing flare, which resulted in a hard landing. A contributing factor was the pilot's excessive airspeed on final approach."
"Substantial","The improper flare by the pilot-in-command resulting in a hard landing and subsequent collapse of the nose landing gear due to overload."
"Destroyed","The inadvertent stall/spin encountered by the pilot during a slow flight maneuver.  Factors relating to this accident were the low airspeed and the trees."
"None","Inadequate visual surveillance by the pilot before takeoff resulting in liftoff with a deplaning passenger still partially aboard the helicopter.  A factor in the accident was the operator's inadequate procedures."
"Substantial","the pilot's failure to refuel the airplane, which resulted in fuel exhaustion and subsequent loss of dual engine power while on approach."
"Minor","the selection of an unsuitable landing area by the pilot.  A contributing factor was the high wind during the landing."
"Substantial","The collapse of the right main landing gear for undetermined reasons."
"Destroyed","an in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane.  Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist."
"Substantial","The pilot's improper flare, and improper recovery from a bounced landing."
"Substantial","The fatigue failure of the crankshaft for undetermined reasons resulting in the total loss of engine power.  A contributing factor in the accident was the unsuitable terrain encountered by the pilot during the forced landing."
"Substantial","The failure of the air traffic controller to provide effective separation on the runway surface as specified in FAA Order 7110.65, Paragraph 3-9-6."
"Substantial","The failure of the air traffic controller to provide effective separation on the runway surface as specified in FAA Order 7110.65, Paragraph 3-9-6."
"Substantial","The pilot-in-command's inability to maintain control of the aircraft while taxiing from landing resulting in a nose over.  Contributing factors were high winds, crosswind conditions during taxi, and gusty wind conditions."
"Substantial","The failure of the air traffic controller to provide effective separation on the runway surface as specified in FAA Order 7110.65, Paragraph 3-9-6."
"Substantial","The failure of the air traffic controller to provide effective separation on the runway surface as specified in FAA Order 7110.65, Paragraph 3-9-6."
"Substantial","The pilot's improper flare, which resulted in a hard landing.  A factor was the sun glare."
"Substantial","The pilot's failure to use proper bounced landing technique, resulting in a hard touchdown, propeller strike, and noseover."
"Substantial","A loss of engine power due to  the fatigue failure of the number 2 piston.  Contributing to the accident was the unsuitable terrain."
"Substantial","The pilot's failure to maintain directional control during the aborted takeoff. Factors include the pilot's excessive rotation attitude, and soft/wet terrain conditions."
"Substantial","an in flight collision with birds."
"Substantial","inadvertent flight into adverse (high wind) weather conditions, which resulted in an inflight collision with objects while landing.  A contributing factor was the high wind weather condition."
"Substantial","the pilot's failure to maintain clearance with the obstacles during landing.  A contributing factor was the gusty winds."
"Substantial","the pilot's failure to maintain clearance with a power line during landing.  A contributing factor was the high wind during the landing."
"Destroyed","The pilot's failure to maintain sufficient altitude while maneuvering, which resulted in a collision with terrain.  Factors in the accident were the dark night, rising terrain, and clouds."
"Substantial","the pilot's failure to maintain control of the aircraft while taxiing from a landing.  A contributing factor was the gusty wind conditions."
"Substantial","The pilot's inattentive preflight inspection, non-compliance with the prestart checklist, decision to leave the cockpit unattended with engine running, and his inadvertent deactivation of the parking brake as he exited to remove a wheel chock, resulting in non-piloted taxi from the aircraft's starting point and collision with an airport terminal structure."
"Substantial","The captain's continued descent below the minimum descent altitude which resulted in impact with terrain during an instrument landing approach.  Factors contributing to the accident were the flightcrew's failure to reset the altimeters to the correct altimeter setting, and meteorological conditions consisting of snow obscuration that limited visibility, and the ambient night light conditions."
"Substantial","The pilot's failure to maintain clearance from the trees while attempting to land in a field after entering an area of instrument meteorological conditions. Factors include low ceilings, rain, fog, strong winds, mountainous/hilly terrain, the pilot's intentional flight into an area of instrument meteorological conditions, and his failure to check forecast weather conditions prior to the flight."
"Destroyed","The pilot's failure to refuel en route resulting in fuel exhaustion, and his inadvertent entry into a stall condition during the emergency descent.  Contributing factors were dark night conditions and mountainous/hilly terrain."
"Substantial","The pilots' failure to maintain airspeed, which resulted in a loss of control and a hard landing."
"Substantial","the captain's failure to maintain airspeed which resulted in an inadvertent stall/mush, and hard landing.  Factors were the failure of both pilots to follow company CRM and flight manual procedures, and the captains improper approach briefing."
"Substantial","The pilots failure to maintain directional control during the landing.  Factors were the gusty crosswind and the terrain drop-off."
"Substantial","The failure of the engine driven fuel pump that contaminated the fuel system and restricted fuel flow to the engine.. A factor is rough/uneven terrain."
"Substantial","The failure of the pilot to use the checklist resulting in a gear-up landing.  Contributing factors in the accident were: 1) The inoperative landing gear warning system, 2) Inadequate preflight of the airplane by the pilot for his failure to assure that the cabin door was closed and latched before takeoff, and, 3) Distraction of the pilot due to the open door.  Findings in the investigation were several discrepancies related to the cabin door."
"Substantial","The hard landing due to the pilot's failure to maintain proper main rotor rpm.  Contributing factors were the loss of engine power for undetermined reasons, and the pilot's failure to deploy the emergency floats."
"Substantial","The pilot's failure to maintain clearance from the surface of an open body of water while intentionally attempting to maintain a very low altitude while in cruise flight. Factors include falling snow, low ceilings, whiteout/greyout conditions, and flat/glassy water."
"None","The line technician's inadvertent contact with the propeller during a hand-propped engine start."
"Destroyed","The pilot's failure to maintain aircraft control during the takeoff.  Factors in this accident were wind gusts and the airplane's high gross weight condition."
"Destroyed","The seizing of the cyclic control for an undetermined reason.  A contributing factor was the lack of altitude for the pilot to regain control of the helicopter."
"Substantial","The dual student pilot's failure to maintain control of the helicopter, his failure to maintain altitude/clearance from the terrain, and the inadequate supervision by the flight instructor.  A factor was the gusty wind condition."
"Substantial","The loss of engine power due to fuel exhaustion resulting from the pilot's failure to refuel the airplane.  Contributing factors were the lack of suitable terrain for the forced landing and the dark night conditions."
"Substantial","The pilot misjudged the touchdown point that resulted in the runway overrun."
"Substantial","The CFI's failure to maintain directional control during the takeoff.  A factor in the accident was the CFI's decision to conduct the flight from the airplane's right seat, which was not equipped with brakes."
"Minor","The failure of the SNJ-6 pilot to maintain visual lookout, resulting in an on-ground collision with another airplane."
"Substantial","The student pilot's failure to maintain directional control during a touch-and-go landing."
"Substantial","The pilot's improper recovery from a bounced landing.  Contributing factors were the pilot's lack of total experience in aircraft, and the pilot's lack of recent experience in kind of aircraft."
"Substantial","The pilot's inadequate fuel consumption calculations, which resulted in fuel exhaustion, and his subsequent inability to avoid power lines."
"Substantial","The failure of the SNJ-6 pilot to maintain visual lookout, resulting in an on-ground collision with another airplane."
"Destroyed","The pilot not maintaining appropriate airspeed which resulted in an  inadvertent stall."
"Substantial","The exceeded aircraft performance and inadequate preflight planning/preparation by the pilot in command.  The lack of recent experience in aircraft by the pilot in command was a contributing factor."
"Substantial","The pilot in command's improper recovery from a bounced landing, which resulted in a hard landing and subsequent nose gear failure."
"Minor","The passengers failure to remain in the balloon basket after landing which resulted in the inadvertent lift-off of the balloon and subsequent injury to the pilot.  A factor related to the accident was the pilot's failure to perform a passenger briefing prior to landing."
"Minor","The Bellanca pilot's failure to maintain directional control while taxiing due to his improper brake usage."
"Minor","The Bellanca pilot's failure to maintain directional control while taxiing due to his improper brake usage."
"Substantial","Loss of engine power for unknown reasons.  A factor was the inadvertent stall the pilot encountered while maneuvering to make a forced landing in an open taro field."
"Substantial","The student pilot's failure to maintain directional control while landing.  A factor related to the accident were the gusting wind conditions."
"Substantial","The Bellanca pilot's failure to maintain directional control while taxiing due to his improper brake usage."
"Substantial","The Bellanca pilot's failure to maintain directional control while taxiing due to his improper brake usage."
"Destroyed","The pilot not maintaining altitude/clearance from the tree line.  Factors to the accident were the pilot attempting the low altitude flight/maneuver and the presence of the tree line."
"Destroyed","The pilot's loss of control of the airplane during an aerial application maneuver."
"Substantial","Fuel exhaustion during cruise flight due to the pilot's improper in-flight decision.  A contributing factor was his improper preflight planning."
"Destroyed","The pilot's failure to maintain visual lookout and clearance above obstacles, which resulted in a collision with power lines and subsequent loss of control and collision with terrain."
"Destroyed","Loss of engine power for an undetermined reason."
"Destroyed","The pilot's continued VFR flight into IMC, and his failure to maintain altitude, resulting in an in-flight collision with the ground.  Factors in this accident were fog, and dark night."
"None","The fatigue failure of a  5/16-inch boom attach bolt was most probably caused by the angular misalignment between the tail boom bolt hole and the fuselage mounted nutplate."
"Substantial","The pilot's failure to maintain clearance from another parked airplane while taxiing.  Contributing factors were the night light conditions, and the pilot's fatigue from a long day."
"Substantial","The pilot's inadequate compensation for an existing crosswind condition, and failure to maintain directional control on the landing rollout."
"Destroyed","The pilot continued flight into known adverse weather and disregarded the minimum descent altitude.  Additional factors were the conditions conducive to pilot fatigue, fog, and night."
"Substantial","The pilot's failure to maintain adequate clearance from objects during the initial climb after takeoff, and subsequent collision with a tree.  A factor was the presence of trees along the runway."
"Substantial","The pilot's improper decision to land on a wet sod runway which resulted in a loss of directional control during landing. Factors were the wet grass strip which allowed the airplane to hydroplane."
"Substantial","The pilot's improper inflight planning which resulted in fuel exhaustion, and subsequent loss of engine power. A factor was the none suitable terrain."
"Substantial","the flight instructor's delayed remedial action to correct the pilot's lack of directional control during landing.  A factor was the crosswind."
"Substantial","The inadequate planning/decision and the exceeded crosswind component by the pilot.  The gusts were a contributing factor."
"Substantial","the mechanic's failure to properly lock the exhaust valve's clearance adjusting screw locknut, which resulted in a loose nut, disabling of the exhaust valve pushrod, and a partial loss of engine power while in cruise flight.  A contributing factor was the night light conditions for the forced landing."
"Substantial","the pilot's failure to maintain directional control during the landing roll, which resulted in the airplane departing the runway, impacting with a windsock, and nosing over in soft terrain."
"Substantial","The loss of engine power for undetermined reasons, which resulted in a forced landing.  A contributing factor was the lack of suitable terrain for the forced landing"
"Substantial","the loss of engine power for undetermined reasons.  Contributing factors to the accident were the dark night light conditions and the lack of suitable terrain for the forced landing."
"Substantial","The failure of the nose gear actuator retract arm due to fatigue."
"Substantial","The pilots failure to maintain adequate airspeed during a go-around in gusty wind conditions, which resulted in an inadvertent stall.  A factor was the gusty wind conditions."
"Substantial","the Cessna pilot's failure to maintain directional control while landing, which resulted in a collision with another airplane."
"Substantial","The failure of the Cessna pilot to maintain directional control while landing, which resulted in a collision with the Lake."
"Substantial","the Cessna pilot's failure to maintain directional control while landing, which resulted in a collision with another airplane."
"Substantial","The failure of the Cessna pilot to maintain directional control while landing, which resulted in a collision with the Lake."
"Destroyed","the pilot intentionally restricting his external vision (turning his cabin lights up bright to practice night instrument approaches), and his subsequent failure to maintain clearance of the mountain.  A contributing factor was the Air Traffic Controllers failure to provide appropriate safety alerts for rising terrain."
"Substantial","The restricted movement of the aileron control system for undetermined reasons."
"Destroyed","the failure of the pilot to maintain airspeed, which resulted in an inadvertent stall/spin, and subsequent impact with trees, while at a low altitude."
"Substantial","the pilot misjudged the ailment of the airplane on the active runway, inadvertently taking off from a parallel taxiway, and  subsequently departing the hard surface into a 40 foot drop off.  A factor in this accident was a dark night, and the pilot's total experience in night operations."
"Minor","the pilot's excessive descent rate during the landing approach, which resulted in a hard landing.  Contributing factors were the high wind conditions and the lack of suitable terrain for the landing."
"Destroyed","The pilot not maintaining control of the airplane during an attempted go-around.  A factor was the trees."
"Substantial","Malfunction of an exhaust valve.  A factor was the pilot/owner's failure to comply with the engine manufacturer's service instructions."
"Substantial","the touchdown aim point not attained by the pilot rated student and the remedial action not performed by the flight instructor."
"Substantial","the pilot's failure to obtain a proper touchdown point and his excessive approach speed during a forced landing.  A contributing factor was the total loss of engine power for undetermined reasons."
"Substantial","The CFI's improper remedial action and failure to maintain directional control during landing in a strong crosswind condition."
"None","A passenger sustained a broken ankle during an emergency evacuation."
"Destroyed","The pilot's delay in aborting the landing.  Factors in the accident were snow and ice on the runway surface, and the pilot's excessive taxi speed."
"Substantial","The pilot's failure to maintain clearance with terrain.  Contributing factors were the mountainous terrain and high density altitude."
"Substantial","A ruptured oil line, which resulted in oil spraying onto the APU exhaust and a subsequent fire."
"Destroyed","Loss of power for an undetermined reason."
"Substantial","The CFI's improper flare, which resulted in a hard landing."
"Substantial","the unsuitable terrain for landing selected by the pilot.  A factor was the soft terrain."
"Substantial","The student pilot's in-flight decision to land in a field, which resulted in an on-ground collision with a berm. Factors were the student's inadequate training and inadequate supervision by the flight instructor on the ground."
"Substantial","A deer, which had been crossing the runway as the airplane touched down.  A factor was the dark night conditions."
"Substantial","An improper weld in the landing gear, resulting in separation of the right main landing gear wheel during a normal landing."
"Substantial","The pilot's failure to maintain aircraft control while maneuvering."
"Substantial","The gear collapse for undetermined reasons during the landing roll.  A factor was the pilot not using a proper touchdown point by landing long."
"Substantial","The pilot's failure to maintain airspeed during a low-altitude aerobatic maneuver, which resulted in an inadvertent stall/spin and subsequent uncontrolled descent into terrain."
"Substantial","the flight instructor's failure to maintain clearance with wires while maneuvering along a river."
"Substantial","The pilot's in-flight encounter with weather, which led to a forced landing to unsuitable terrain."
"Destroyed","The pilot initiated a VFR flight into known IMC conditions which resulted in a loss of control of the airplane due to spatial disorientation. Factors were the low ceilings."
"Substantial","The failure of the pilot ensure the proper position of the fuel selector which resulted in fuel starvation. Factors were the improper placement of the fuel selector valve tank index, and the improper in-flight decision of the pilot to change tanks in accordance with the owner's manual."
"Substantial","The pilot's failure to retract the landing gear, which resulted in a wheels down landing on water."
"Substantial","the pilot's failure to perform a preflight inspection, which resulted in a loss of total engine power due to oil starvation.  A  contributing factor was the lack of suitable training for the forced landing."
"Substantial","pilot's inadvertent activation of the right brake during landing roll-out , which caused the airplane to nose over.  A factor was the crosswind."
"Substantial","impact with a deer during initial climb immediately following rotation, resulting in the separation of the left main landing gear assembly."
"Substantial","The fuel starvation encountered on takeoff and unsuitable terrain the pilot encountered during the forced landing.  A factor was the fuel selector valve malfunction."
"Substantial","The separation of the number four cylinder exhaust valve guide from the cylinder head, leading to the failure of the exhaust valve stem and the catastrophic failure of the engine while in cruise flight. Factors include the necessity of attempting a forced landing in rolling/hilly terrain on a very dark night."
"Substantial","the failure of the pilot to maintain directional control.  A factor was the trees."
"Substantial","The excessive braking performed by the flight instructor."
"Destroyed","The pilot's failure to maintain adequate altitude above, and/or clearance with, mountainous terrain during night visual flight rules flight.  Factors included mountainous terrain and dark night light conditions."
"Substantial","The pilot's improper flare during landing."
"Substantial","the pilot's improper rotation and failure to maintain directional control during takeoff.  Additional factors were the crosswind and the soft terrain."
"Substantial","The failure of the pilot-in-command to maintain directional control of the airplane after encountering a dust devil during landing roll."
"Substantial","The student and flight instructor not using all of the available runway, the inadequate supervision by the flight instructor and the unsuccessful remedial action by the flight instructor.  The student not attaining the proper touchdown point and the plowed field were factors."
"Substantial","The safety pilot's failure to maintain directional control during the landing.  Contributing factors were the safety pilot's lack of experience flying from the right seat and the improper retraction of the flaps during the attempted go-around."
"Substantial","The pilot's improper preflight planning/preparation, and his continued flight into known adverse weather conditions.  Factors relating to the accident were the pilot becoming lost/disoriented in the weather, visual lookout by the pilot during the descent not possible, the pilot's lack of certification to fly in instrument meteorological conditions, the low ceiling, the fog, and the tree."
"Substantial","The total loss of engine power while maneuvering due to a cracked cylinder, which resulted in a forced landing.  A factor was lack of suitable terrain for the forced landing."
"Destroyed","Improper installation of the elevator trim tab control rod by maintenance personnel which allowed the control rod to disconnect and jam in the full up position (elevator full down) while in-flight. This resulted in a loss of directional control and subsequent impact with trees and terrain."
"Substantial","The separation of the main landing gear scissor assembly during landing for undetermined reasons, resulting in the directional control of the airplane not being possible."
"Substantial","The failure of both pilots to insure the airplane contained adequate fuel to complete the flight resulting in loss of engine power due to fuel exhaustion and collision with trees during a forced landing."
"Substantial","The pilot's unsuccessful corrective action (recovery) from an inverted spin.  A contributing factor was the pilot's encounter with the inverted spin maneuver."
"Substantial","The pilot's failure to maintain clearance with the transmission wires while maneuvering.  A contributing factor was the low altitude flight performed by the pilot."
"Substantial","The pilot's delay initiating a go-around during a downwind approach to a short runway."
"Destroyed","improper rigging of the rotary variable differential transformer by the manufacturer, resulting in incorrect fuel scheduling to the fuel control unit."
"Substantial","The pilot-in-commands (CFI) failure to follow procedures and directives (positive relinquish of flight controls from a dual student and improper  flare (too high) during an autorotation) which resulted in a subsequent hard landing. Contributing to the accident was the dual students failure to relinquish the flight controls."
"Substantial","The pilot's misjudgment of speed and altitude on final approach to landing, which resulted in a low approach and impact with a fence at the runway threshold.  The impact lead to a subsequent loss of control and nose over."
"Substantial","The failure of maintenance personnel to properly diagnose the cause of a reported maintenance discrepancy resulting in the airplane being released from an annual inspection with a worn hydraulic pump which lacked sufficient output to operate the landing gear.  Another cause was the pilot's improper execution of the landing gear emergency extension procedure by failing to fully extend the manual hydraulic pump handle prior to attempting emergency gear extension."
"Substantial","The pilots' failure to maintain aircraft control on short final, resulting in a touchdown off of the prepared landing surface.  A factor was grassy terrain encountered on the landing rollout."
"Substantial","failure to maintain aircraft control during landing.  Contributing factors were the crosswind and gusting wind conditions."
"Substantial","The pilot failed to maintain directional control while landing in a cross wind.  He attempted a go-around, but inadvertently stalled the airplane, which resulted in an uncontrolled descent and collision with the runway."
"Minor","The pilot's failure to maintain a visual lookout and yield the right-of-way to a lower airplane while landing. This resulted in an inadvertent midair collision. Contributing to the accident was reported excessive radio communications on the UNICOM radio frequency resulting in both pilots not hearing the others transmission."
"Minor","The pilot of the other airplanes failure to maintain a visual lookout and yield the right-of-way to a lower airplane while landing. This resulted in an inadvertent midair collision. Contributing to the accident was reported excessive radio communication on the UNICOM radio frequency resulting in both pilot's not hearing the others transmission."
"Substantial","The inadvertent stall by the pilot.  Factors were the tailwind, and the improper decision of the pilot to takeoff with a tailwind."
"Substantial","The pilot's inadequate preflight planning/preparation resulting in fuel exhaustion during cruise flight, and the unsuitable terrain for landing encountered by the pilot during the subsequent forced landing.  Factors relating to the accident were the pilot's inadequate fuel calculations, fuel exhaustion, and the trees."
"Destroyed","The loss of engine power for undetermined reasons, and the pilot's failure to maintain airspeed which resulted in an inadvertent stall/spin."
"Destroyed","Fuel starvation caused by the pilot's improper positioning of the fuel tank fuel selector while in the traffic pattern, and the unsuitable terrain encountered during the forced landing.  Factors relating to the accident were the pilot not complying with the emergency procedures checklist, and the tree."
"Substantial","The pilot's inadvertant application of full right pedal which resulted in the baggage compartment door to open in-flight and a tie down rope to become entangled in the tail rotor drive system, and the failure of the tail rotor drive shaft resulting in the loss of anti-torque control."
"Substantial","The CFI's delayed remedial action, which resulted in a loss of control during landing rollout and impact with a parked airplane."
"Substantial","loss of engine power while maneuvering for an undetermined reason.  A contributing factor was the lack of suitable terrain for the forced landing."
"Destroyed","the pilot's failure to maintain clearance of the wires.  A contributing factor was the trees the airplane struck while the pilot was attempting to regain aircraft control."
"Substantial","The pilot's failure to maintain a visual lookout and yield the right-of-way to a lower airplane while landing. This resulted in an inadvertent midair collision. Contributing to the accident was reported excessive radio communications on the UNICOM radio frequency resulting in both pilots not hearing the others transmission."
"Substantial","The pilot of the other airplanes failure to maintain a visual lookout and yield the right-of-way to a lower airplane while landing. This resulted in an inadvertent midair collision. Contributing to the accident was reported excessive radio communication on the UNICOM radio frequency resulting in both pilot's not hearing the others transmission."
"Substantial","The operators failure to ensure adequate training had been provided to the student pilot in autopilot operations, and the student pilot's failure to comply/ follow written instructions (Federal Regulations/172 Skyhawk Information Manual) pertaining to the failure of the autopilot, autopilot trim, or manual electric trim malfunction. This resulted in a reported failure of the autopilot trim to disconnect on initial takeoff for undetermined reasons, loss of aircraft control on landing (porpoise),  and subsequent hard landing on the nose gear."
"Substantial","A separation of the cylinder from the engine for undetermined reason(s).  A factor was the hidden ground obstruction (hole) which the airplane struck during the landing roll."
"Destroyed","the pilot's improper use of carburetor heat, and subsequent forced landing.  Factors were the carburetor icing condition, night conditions, trees, and the pilot's impairment from ingestion of an over-the-counter antihistamine."
"Substantial","The inadequate fuel consumtion calculations by the pilot resulting in fuel starvation during the aborted landing, and the overloaded steering link for undetermined reasons resulting in the lack of directional control during landing.  Factors were the electrical system failure for undetermined reasons, the visual approach slope indicator (VASI) system, and the altitude/clearance from the VASI not possible by the pilot."
"Substantial","The pilots decision to operate the helicopter at an airspeed in excess of the maximum demonstrated stable airspeed for the water bucket.  A factor in the accident was the pilot did not follow the published emergency procedure."
"Destroyed","The pilot's failure to discontinue the approach after encountering instrument meteorological conditions, which resulted in controlled flight into terrain.  Contributing factors were the dark night light condition, low ceiling, and reduced visibility due to fog."
"Substantial","Aircraft control not maintained by pilot during landing."
"Substantial","Failure of the student pilot to maintain directional control during landing."
"Substantial","the failure of the left outboard elevator attachment, which resulted in the partial separation of the left elevator and induced an airframe vibration."
"Destroyed","The pilot's failure to remove the control gust lock prior to takeoff and his failure to abort the takeoff with sufficient runway remaining to stop the airplane on the runway."
"Substantial","The magneto was inadvertently switched off by the pilot during the climb.  A tree was a factor."
"Destroyed","in-flight collision with trees while on final approach to land for an undetermined reason."
"Substantial","The pilot's failure to maintain aircraft control while hovering.  A factor related to the accident was the pilots lack of experience in type of aircraft."
"Substantial","Failure of the flight instructor to maintain directional control resulted in a departure from the runway surface and collision with a runway sign."
"Destroyed","Pilot's failure to maintain adequate separation from terrain during the initial climb.  Factors include spatial disorientation and a dark moonless night."
"Substantial","The pilot's failure to verify that the landing gear was down and locked prior to landing resulting in the airplane being landed with the landing gear retracted."
"Destroyed","The improper selection of the fuel selector which resulted in fuel starvation and subsequent engine failure. Factors were the unsuitable terrain for the forced landing encountered by the pilot and the night light condition."
"Destroyed","The pilot's improper stowage of hazardous material."
"Substantial","the pilot's failure to set the parking brake before exiting the aircraft to remove the wheel chocks."
"Substantial","the pilot's failure to keep the aircraft from touching down short of the displaced threshold, and his failure to maintain directional control after the aircraft's left main gear tire deflated as a result of impacting the lip at the beginning of the subject threshold. Factors include the deflation of the main gear tire, and soft terrain near the side of the runway."
"Substantial","Collision with a deer during the takeoff roll."
"Destroyed","the loss of engine power during initial climb for undetermined reason.  A factor was the lack of suitable terrain for a forced landing."
"Substantial","The pilot's improper flare and his failure to maintain directional control.  A contributing factor was the ditch."
"Substantial","The pilot's improper visual lookout while hovering the helicopter, which resulted in the helicopter's main rotor blades colliding with a light post."
"Substantial","The pilots attempted operation of the aircraft with known deficiencies in the engine ignition system resulting in failure of the engine due to ignition system failure and damage to the airplane during the subsequent  forced landing."
"Destroyed","The pilot's becoming lost and disoriented and his failure to maintain control of the airplane while flying over an unpopulated area on a dark night, which was the result of spatial disorientation. Factors in the accident was the pilot's consuming alcoholic beverages before the flight and the dark night."
"Destroyed","the pilot's failure to maintain aircraft control and his inadvertent flight into known adverse weather conditions.  Factors relating to this accident were the pilot's limited ability to see at night, spatial disorientation, the dark night, and the fog."
"Substantial","the directional control not maintained by the pilot.  A contributing factor was the stuck open intake valve on the left engine."
"Substantial","The student pilot's inadequate directional control on the previous landing resulting in the overload failure of the nose landing gear fork.  Factors were the overload of the nose landing gear fork, and the student pilot's lack of total experience."
"Substantial","the pilot's failure to maintain clearance from the power line while landing."
"Substantial","The loss of engine oil for undetermined reasons that resulted in the engine seizing, a forced landing on a dirt road, and an impact with a vehicle on the dirt road during the landing rollout."
"Substantial","The pilot's inadequate in-flight planning/decision which led to fuel exhaustion and subsequent loss of engine power.  Contributing to the accident was the soft, rough/uneven terrain."
"Substantial","The pilot not attaining altitude/clearance from the tree line during the aborted landing.  Factors to the accident were the pilot selecting to operate the airplane on the rough/uneven runway, the pilot's lack of total experience in the airplane, and the tree line."
"Substantial","The pilot's improper preflight planning/preparation and failure to ensure sufficient fuel was available to complete the flight, which resulted in fuel exhaustion, a forced landing, and damage to the aircraft when it collided with a fence during the landing rollout."
"Substantial","The loss of engine power  during takeoff/initial climb due to undetermined reasons."
"Destroyed","The failure of the pilot to maintain airspeed following loss of engine power resulting in the airplane stalling and entering a spin from which it crashed. Factors in the accident was improper repair of the front cylinder intake manifold seal by the pilot after a prior accident which resulted in seizure of the front piston in the cylinder and failure of the engine and the pilots use of Alprazolam, a drug which has adverse effects on pilot performance."
